"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"VENKATESWARA ELECTRICAL INDUSTRIES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Education, Differently Abled, Livelihood",Education,0.0601
"NSEIT LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Environment, Animal Welfare, Conservation Of Resources","Environmental sustainability",0.0022442
"GMM PFAUDLER LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Environment, Animal Welfare, Conservation Of Resources","Environmental sustainability",0.15
"NSEIT LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities","Senior Citizens Welfare",0.0000578
"NSEIT LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities","Senior Citizens Welfare",0.0000006
"KRC INFRASTRUCTURE AND PROJECTS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities","Gender equality",0.05
"HDFC BANK LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation","Health care",0.699801
"CASTLE SHIPS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation","Health care",0.1687794
"TCI EXPRESS LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Rural Development","Rural development projects",0
"VASISHTA CONSTRUCTIONS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Rural Development","Rural development projects",0.706001803
"BRENNTAG INGREDIENTS (INDIA) PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andaman And Nicobar","Rural Development","Rural development projects",0.01
"AJANTA PHARMA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.3
"ITC LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",32.51869323
"ITC LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",2.016047047
"ITC LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,45.90741466
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.008
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.02
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.002883
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.01
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.012
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.005
"STILBENE BIOPHARMA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0005
"EMUDHRA CONSUMER SERVICES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.025
"SREE PADMAVATHI VENKATESWARA FOUNDATION","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1
"NAVABHARAT LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.03
"WORLDWIDE DIAMOND AND JEWELLERY MANUFACTURERS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0838969
"WORLDWIDE DIAMOND AND JEWELLERY MANUFACTURERS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.063425
"WORLDWIDE DIAMOND AND JEWELLERY MANUFACTURERS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.07965
"PRIDHVI ASSET RECONSTRUCTION AND SECURITISATION COMPANY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Vocational skills",0.1626086
"PRIDHVI ASSET RECONSTRUCTION AND SECURITISATION COMPANY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0672
"PRIDHVI ASSET RECONSTRUCTION AND SECURITISATION COMPANY LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.04
"FABEX STEEL STRUCTURES PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0325
"GOLKONDA HOTELS AND RESORTS PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.036324
"COASTAL LOCAL AREA BANK LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0857
"SMS LIFESCIENCES INDIA LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0146
"ROYALE MARINE IMP-EX PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.026
"CAN FIN HOMES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.01534
"CAN FIN HOMES LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0553068
"LUCKY WEAVESS INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.1000001
"R.L.FINE CHEM PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.8576349
"LTIMINDTREE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood","Livelihood enhancement projects",0.15865
"VICTORIAS SECRET INDIA PRIVATE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.08
"AMRUTANJAN HEALTH CARE LIMITED","FY 2023-24",Non-PSU,"Andhra Pradesh","Education, Differently Abled, Livelihood",Education,0.0456
