parliamentary_constituency,locality,ambiguous_assemblies,assembly_count,status,curated_assembly,suggested_action,notes
Aligarh,Prathamik Vidyalay Bahadurpur,Barauli | Iglas,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Aligarh,Prathamik Vidyalay Kanaura,Barauli | Iglas,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Aligarh,Prathamik Vidyalay Sikandarpur,Atrauli | Iglas,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Aligarh,Prathamik Vidyalay Surajpur,Atrauli | Barauli,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,3. Average number of voters per polling station,Gokak | Saundatti Yellamma,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Budihal,Bailhongal | Gokak,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Hallur,Arabhavi | Saundatti Yellamma,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Hanamapur,Gokak | Ramdurg,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Hulikatti,Belgaum Rural | Gokak,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Jalikatti,Ramdurg | Saundatti Yellamma,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Karikatti,Bailhongal | Belgaum Rural,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Mutnal,Belgaum Rural | Gokak,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Naganur,Arabhavi | Ramdurg,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Ramapur,Bailhongal | Ramdurg,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Shivapur,Arabhavi | Saundatti Yellamma,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Soppadla,Ramdurg | Saundatti Yellamma,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Belagavi,Venkatapur,Arabhavi | Ramdurg,2,needs_review,,Choose one assembly or leave unresolved pending clarification,
Ghaziabad,Lohiya Nagar,Ghaziabad | Loni | Muradnagar,3,needs_review,,Choose one assembly or leave unresolved pending clarification,
